Quantity,one,two,three,four,five,macroavg,weightedavg
precision,0.692,0.199,0.109,0.056,0.963,0.404,0.821
recall,0.187,0.404,0.606,0.373,0.254,0.365,0.279
f1-score,0.295,0.267,0.184,0.098,0.402,0.249,0.36
support,8271.0,4082.0,6065.0,9165.0,105250.0,132833.0,132833.0
within-1,0.669,0.958,0.953,0.945,0.79,0.863,0.806
