Quantity,one,two,three,four,five,macroavg,weightedavg
precision,0.547,0.294,0.321,0.247,0.972,0.476,0.846
recall,0.716,0.416,0.432,0.503,0.827,0.579,0.767
f1-score,0.62,0.345,0.369,0.331,0.894,0.512,0.798
support,33215.0,16440.0,23857.0,36339.0,421478.0,531329.0,531329.0
within-1,0.877,0.915,0.816,0.904,0.943,0.891,0.93
