word,coeff_ci_min,coeff_means,coeff_ci_max,is_significant
thumb,-0.2377382017620868,-0.15267427506978618,-0.05178601339156185,True
gap,-0.15816781828885362,-0.038414260551017446,0.08600496620376759,False
installed,0.02263474902408272,0.16381795325456686,0.27981234122752796,True
smelling,-0.08776917199976422,0.00952237564945212,0.14441465834133138,False
boxes,-0.09907249073581902,0.043885667789907934,0.17646250233307828,False
entirely,-0.13493306857547274,0.0001743401501567811,0.11170636397185049,False
hammered,-0.012969436554570092,0.06095371468466213,0.15389705199093287,False
specific,-0.12872532764609146,-0.007131749265436027,0.1302834455951236,False
manner,0.01201065035432456,0.11471192018515008,0.22033569424146873,True
edit,-0.19208852266705256,-0.09066555597267331,0.07029335320161145,False
securely,-0.0897861780295074,0.00889243117263012,0.07761008223791194,False
respond,-0.08951926259568298,0.01546937352313441,0.1437666496892516,False
pale,-0.27985177676825496,-0.18337782571810973,-0.08533536389899286,True
apple,-0.46789972559487997,-0.34411626646145,-0.18451468377770078,True
mounted,-0.013177726565011474,0.10189903917902836,0.17733331214948617,False
causing,-0.16465107292522127,-0.041020303061553756,0.08902227322191558,False
repair,-0.21826435851101264,-0.10297743707065161,-0.014953405565973254,True
defective,-0.36802953138523675,-0.26310484589048766,-0.14352488915469222,True
emailed,0.04143286926421507,0.15257484220521342,0.28249180484948844,True
ran,-0.2559871864236463,-0.16208805673837723,-0.04575159597018214,True
3rd,-0.16655114188652445,-0.04923653410213374,0.06698347744926776,False
willing,0.05866709361729079,0.18326354655703142,0.29977814293040816,True
etching,-0.07574399692939587,0.04820066339849287,0.13729526519472426,False
seal,-0.15923247544793814,0.034849278690634596,0.15173002033945146,False
charged,-0.21973954095393006,-0.1501154646402122,-0.0293174468292519,True
plating,0.019334089689255426,0.10080875913648876,0.16915264296433138,True
whether,-0.04005069114002332,0.08793575633401467,0.3038746463022838,False
info,-0.18018855663464636,-0.04991208940736955,0.06979941336657097,False
amethyst,-0.39290125457774605,-0.2708672195774765,-0.16738132005987988,True
cartilage,-0.10662406673658781,-0.00754354386918434,0.09474413608454939,False
cream,0.04708251081890376,0.14681910509944912,0.24781588642955515,True
further,-0.08835341620156736,0.022341057900393764,0.13747189684974429,False
sound,-0.20113495887403163,-0.06649121730075919,0.04157468187000324,False
lamp,-0.16674850533018476,-0.09717328531655463,-0.01590418587027859,True
glow,-0.11374197303552855,-0.04819092724242556,0.012180180295700126,False
pyramid,-0.1232354305725668,0.007575596073220499,0.10583495793691983,False
rusted,-0.5412908558689824,-0.44928999088586663,-0.326255829879502,True
sloppy,-0.26733717519087075,-0.19272508651190512,-0.12174242263386312,True
communication,-0.18485306065270918,-0.04757914291323741,0.08656003330504505,False
distance,-0.10489191960874135,0.012837547001232569,0.1104757764144237,False
awhile,0.1988529754007423,0.26970377948424484,0.3373186950405435,True
jeweler,-0.1258373953508325,0.017157198590679996,0.15936486843619943,False
push,-0.03787378236736791,0.0510272239756596,0.1731778287439354,False
wont,-0.39845437876415885,-0.2979446324875116,-0.18765427249353744,True
suitable,-0.07063254744316319,0.04540690206583278,0.164440529546738,False
blanket,-0.03610046867840553,0.04559747307224417,0.10482185321827117,False
lip,-0.09659453606703564,0.04433954042953263,0.12879607838079601,False
bands,-0.08263606680202026,0.03770584826169299,0.12217374778216857,False
marker,-0.16635850432689078,-0.08883788891927272,-0.025605433237525923,True
thats,-0.3857156777383022,-0.291368769742974,-0.1961470731395463,True
accidentally,0.210686472053839,0.3313327834479218,0.4624962841623807,True
wise,0.10931750662315576,0.22899070128157298,0.3267769672712623,True
practical,-0.08409240168996283,0.015444395247974673,0.16257111476555366,False
refunded,-0.03770713695085704,0.1430037543655326,0.36540567552321407,False
forget,-0.04397043138887118,0.1465323585022698,0.25999509625535255,False
studs,-0.13044576482671136,-0.014228843634932892,0.08478587724542719,False
pouch,-0.1717878619544141,-0.039953187906945624,0.06127075609380461,False
xl,-0.11223175848683926,-0.01454547535020089,0.07021759603893488,False
chip,-0.12624084973789643,-0.06573938325641501,0.012427548729922492,False
obvious,-0.08221422566746901,0.017311999956641625,0.11555385150524557,False
planning,-0.37258270827560613,-0.26143794216770627,-0.14825688588943414,True
effect,-0.1941636135373583,-0.0818411615729804,0.07240567771157,False
fiance,-0.09845686210922142,-0.0017229072096283274,0.0946783088611334,False
removing,-0.25315085245381685,-0.1488100724534191,-0.052894130015759766,True
dishwasher,-0.1472655205459992,-0.035332533723428754,0.0740385076060932,False
melted,-0.30817974718498864,-0.19201554917226543,-0.05927983193233442,True
rope,-0.059983783242288424,0.07797505588630751,0.17936935299541398,False
step,-0.09039933524507807,0.009358184880853196,0.09495385724579002,False
appropriate,-0.2367212630029113,-0.12311293994048336,-0.0086412273244803,True
piercings,-0.16437526179149733,-0.07801291867139085,0.029331868754141947,False
lotion,-0.11764090325058839,0.020350817675335385,0.11207532404940206,False
plenty,0.06943535132568235,0.20286310476542618,0.2997583760852922,True
customers,-0.14229087796664902,-0.047122888059220165,0.07011092759624724,False
adhere,-0.2291633195683871,-0.14943299004312888,-0.023979413605145047,True
petite,-0.0722974670482834,0.04547568891271399,0.14375192406449525,False
tea,-0.2180444873060555,-0.11380392325967728,0.0018948568092456413,False
scented,0.06061926246178908,0.16219577298721718,0.2844850912297645,True
music,0.07949314655795625,0.15824818333413543,0.2555365006322601,True
calendar,-0.19021096583923658,-0.02533174709818175,0.07120312285238814,False
event,-0.08284513074968096,0.03216653553467106,0.11503800893586406,False
link,-0.08447496460098165,0.05719389252544169,0.16299651247217853,False
comparison,-0.06736277208780966,0.021596136624210664,0.14246589457631056,False
regret,-0.1822479642565705,-0.07996738478842973,0.058646724118468066,False
popped,-0.31168019421300136,-0.18685762538209233,-0.09535266717267081,True
continue,-0.03561347903574384,0.053334697742092395,0.17435268089670797,False
foot,-0.3226280418355128,-0.21623525112694622,-0.08149097756902776,True
narrow,-0.10566044989823542,-0.019797098640851073,0.07907943082051178,False
mug,0.0022141904484241034,0.07551024444661654,0.21297623154180573,True
fire,-0.3220694924662697,-0.25037672908531194,-0.1547390220843187,True
tumbler,-0.0011757193900231583,0.07924657868307841,0.15350653034419032,False
hopes,-0.40663688510107404,-0.2717127820871471,-0.15077107965816888,True
cleaned,0.03588863069907079,0.15384730560081888,0.2807543381904419,True
list,-0.12903237380473365,-0.03997447228928498,0.03615137863691867,False
oils,-0.1085156391106809,0.005140473521806221,0.13203555956667926,False
notebook,-0.22173498624427312,-0.1301714083413268,-0.04348227378491029,True
pass,-0.1494910963477081,-0.03316180598907954,0.06755022445749724,False
boy,-0.2845926106624798,-0.16097884237690735,-0.048278129575777005,True
test,-0.21941179543082806,-0.12018783797060476,-0.0014157632238051073,True
hangs,-0.09256534349574717,-0.00821184177032272,0.09425606011725988,False
throughout,0.0893536792939636,0.23316358250563152,0.3918436732514046,True
diameter,-0.10920299358962403,0.014786718115965186,0.12708066985161237,False
protective,-0.1430353591594407,-0.020738158208738512,0.08329840953656203,False
prevent,0.09424900999336654,0.19821237744992928,0.32591662725063286,True
tube,-0.04356080717598131,0.04338627227001342,0.15149261510266704,False
questions,-0.11538066580767611,0.046807900290945045,0.1899237254760674,False
graphic,-0.18520291380675197,-0.11455178802174233,-0.008611391439376026,True
question,-0.09593108333496203,0.041689338706673636,0.1662251878128257,False
badge,-0.10873030051903018,-0.00693718992448699,0.10100356862481459,False
shoes,-0.042486715230652596,0.06294598634227794,0.16305865490051302,False
sand,-0.15585187417985497,-0.011714568115514487,0.08013444008137793,False
changing,-0.12726875578170052,-0.015290458357015943,0.09099897723938129,False
sealed,-0.03775817572799538,0.04450556907617502,0.17975119741188417,False
weather,-0.0320065274328418,0.06848950700402563,0.1555825109409016,False
tip,0.12645155809494632,0.22934788713742935,0.35739491198094964,True
ingredients,-0.11028178326274855,0.013769075747560824,0.15297447622680949,False
travel,-0.0875262313179626,0.019065308996975436,0.08965181702212342,False
tied,-0.21853306745167267,-0.10039019063952052,-0.003926458901217543,True
rate,-0.24439197404329346,-0.1332226075685312,0.019252241035125784,False
meaning,-0.14818689283993056,-0.008589184156148602,0.11729159099182167,False
built,-0.12063845339380776,0.006575051969437594,0.07692311161780062,False
lesson,-0.13350937623425568,0.02113172733724058,0.1595918257270484,False
create,-0.22352496428427057,-0.10878266279951218,0.028422958668441144,False
finding,-0.1144248439371812,0.005495288475297925,0.15437062912281954,False
sanded,-0.1728629781542942,-0.07366124056507604,0.052514843367364575,False
melts,-0.0830694879682544,0.006362700608570198,0.09912418489008032,False
dropped,-0.048734354277573284,0.03278235859356763,0.13514489318963538,False
cardstock,-0.07818485993254498,0.007641689368387082,0.11532675832646919,False
foam,-0.18661681246644132,-0.07866112320359156,0.0006630368629780497,False
possibly,0.0559115619728376,0.13388860088670312,0.21172066072092868,True
disney,-0.04307098336856766,0.0601250838091887,0.15884179654335254,False
matched,-0.1729349969656617,-0.09253478342568042,-0.018421011088844336,True
summer,0.07787519521890227,0.19090705663990376,0.2826338554636921,True
mount,0.10548012634119304,0.1642283846945456,0.2170786487692236,True
coating,-0.11533055666224121,-0.016697648256584298,0.08240762975475083,False
interesting,0.2834192488171678,0.37259379125135716,0.441396312062524,True
useful,-0.030225832555367378,0.08816560220074125,0.2359505980273573,False
saved,-0.14331462428056418,-0.06426081739179036,0.022919150600336113,False
shopping,-0.13372535451175335,-0.06645421311202868,0.017661999295887857,False
unfinished,-0.25709310348230185,-0.17659435875460378,-0.08079116314037688,True
breaks,-0.544739948316664,-0.43768840919427293,-0.33660411273084306,True
besides,-0.14727082487247034,-0.0764571084640418,-0.0021657696682354064,True
helped,0.2447018432477255,0.38251537686610015,0.48025407678159754,True
pins,0.05758694134215009,0.13112211446091987,0.20500602806751922,True
owner,-0.07108240990499717,0.029540659761364413,0.1426641356974374,False
passed,-0.09785461701951005,0.024597129590765716,0.10010553459857637,False
worry,0.10769884293485636,0.2667434754344579,0.36189019423994495,True
created,-0.17280267332691676,-0.080876711095968,0.020410892385527804,False
moved,-0.037899547526683355,0.04868683749764423,0.14813536042548253,False
subtle,-0.0030881686523234917,0.09237927819728012,0.2044585125615346,False
sparkly,-0.1291204527713452,-0.014236324975071452,0.08190275285492893,False
tin,-0.33366563000312194,-0.2170866575886175,-0.11196969142876523,True
kit,-0.14143584817148483,-0.06312930043894237,0.03865842708228528,False
stylish,0.3760457929931163,0.4597836171519051,0.5480212753961067,True
journal,-0.32055863666938245,-0.22524051396286224,-0.10393329881780702,True
mounting,-0.08770262884209006,-0.0025985511911367646,0.1523690096052204,False
applying,-0.0019823222651164773,0.07646955402390668,0.16308871026894,False
framing,-0.09582620361554836,-0.010222500902890832,0.06946361570820002,False
balm,-0.18292673080735966,-0.0750164661467447,-0.006624324001454219,True
logo,-0.030925520968326212,0.04091112138939559,0.12533624189093842,False
cap,0.07295386227112584,0.14844513103000712,0.24469515769146502,True
gauge,-0.15646394986512166,-0.06797668578413409,-0.006063295053198792,True
control,-0.19763182438714147,-0.11372953398701821,-0.038144801246954865,True
buckle,-0.07190876289619787,0.03997235960187729,0.1381931438960132,False
starts,-0.24324735106793724,-0.13998064012838213,-0.026570252236193966,True
perfume,-0.08988164207253578,0.001036340454258659,0.08766840983630572,False
sucks,-0.7619662317847182,-0.6544994288440129,-0.5454018137957933,True
graduation,-0.148177397672941,-0.02042865307359238,0.05699932025527244,False
